Strain,Mean Intensity 405nm,Mean Intensity 488nm
control-yMS2882,145.38561494000007,123.29546454
YBR070C,151.40135547999995,126.40297764000003
control-yMS2885,137.375997,133.44442228000005
YDR495C,152.12322859999998,125.96876877999995
YBR168W,148.61294618181813,127.41927806818181
YBR110W,154.48433272000003,127.08617921999999
YGL184C,151.97429594000013,124.41942884000004
YEL013W,158.72084758,125.33739578000005
YIL095W,156.15946867999995,123.63625020000002
YGR157W,150.47777462000005,124.97435376
YHR039C,152.54949487999994,127.16771242
YDR329C,157.76104263999983,124.23655862000008
YLR454W,145.57347277486906,123.17006688481673
YMR031C,147.83738551075285,127.54374922043014
YMR109W,157.1597825200001,127.97819358000008
YDL193W,155.85420829999993,128.82032248
YBL050W,151.96215089999993,129.44132303999993
YMR264W,169.18167863999992,138.65553683999988
YPR097W,155.77161790000014,128.76750902000012
YJL062W-A,203.81242878000003,124.21858507999994
YNL149C,156.44541833333335,126.36145441176471
YER018C,187.81983610000006,125.01850530000004
YOL048C,141.34199236245973,125.70586064724924
YIL056W,152.14006442000007,124.50199226000001
YPR122W,139.41804724000005,132.79575785999987
YHR201C,155.55917719999994,123.86799845999997
YLR408C,147.45709700000012,129.43294939999996
YDR034C,164.17017517999997,125.12779229999992
YDR082W,176.99262142,135.90242872000002
YCL029C,157.17208249999993,127.20537380000006
YOR081C,161.95070760000002,135.81959304
YCL028W,151.8894353800001,123.93631429999998
YPR140W,146.55702280000003,131.21040283999994
YAR050W,156.86508722000002,140.19364024
YLR148W,150.52878348484842,132.70276603896102
YFR024C-A,157.79920372000004,128.583265
YJL207C,151.9113554520548,124.7931655342465
YLR087C,137.6050078,132.54810820000006
YJL061W,159.83503652,126.93299096000005
YJL123C,160.36161492,132.82375286000007
