Strain,Cells Num,Puncta Num,Ratio - #puncta/#cell
control-yMS2882,13881.0,13685.0,0.9858799798285426
YBR070C,2128.0,703.0,0.33035714285714285
control-yMS2885,1072.0,542.0,0.5055970149253731
YDR495C,1126.0,612.0,0.5435168738898757
YBR168W,440.0,119.0,0.27045454545454545
YBR110W,1338.0,499.0,0.37294469357249627
YGL184C,725.0,237.0,0.32689655172413795
YEL013W,1564.0,886.0,0.5664961636828645
YIL095W,712.0,207.0,0.2907303370786517
YGR157W,658.0,218.0,0.331306990881459
YHR039C,926.0,354.0,0.38228941684665224
YDR329C,2213.0,648.0,0.2928151830094894
YLR454W,382.0,158.0,0.41361256544502617
YMR031C,372.0,200.0,0.5376344086021505
YMR109W,2887.0,944.0,0.3269830273640457
YDL193W,2484.0,784.0,0.31561996779388085
YBL050W,842.0,390.0,0.46318289786223277
YMR264W,621.0,165.0,0.26570048309178745
YPR097W,809.0,269.0,0.33250927070457353
YJL062W-A,5678.0,1877.0,0.3305741458259951
YNL149C,204.0,68.0,0.3333333333333333
YER018C,3228.0,1538.0,0.476456009913259
YOL048C,309.0,211.0,0.6828478964401294
YIL056W,3304.0,3266.0,0.988498789346247
YPR122W,826.0,496.0,0.6004842615012107
YHR201C,1760.0,2094.0,1.1897727272727272
YLR408C,747.0,359.0,0.48058902275769744
YDR034C,4620.0,4145.0,0.8971861471861472
YDR082W,1882.0,589.0,0.31296493092454836
YCL029C,1001.0,1495.0,1.4935064935064934
YOR081C,942.0,231.0,0.24522292993630573
YCL028W,1273.0,317.0,0.24901806755695208
YPR140W,1298.0,693.0,0.5338983050847458
YAR050W,6693.0,4436.0,0.6627820110563275
YLR148W,462.0,203.0,0.4393939393939394
YFR024C-A,1088.0,276.0,0.2536764705882353
YJL207C,365.0,177.0,0.4849315068493151
YLR087C,935.0,481.0,0.5144385026737968
YJL061W,4760.0,1463.0,0.3073529411764706
YJL123C,1084.0,534.0,0.492619926199262
