Well,Strain
A1,control-yMS2882
A2,YBR070C
A3,control-yMS2885
A4,YDR495C
A5,YBR168W
A6,YBR110W
A7,YGL184C
A8,YEL013W
A9,YIL095W
A10,YGR157W
A11,blank
A12,YHR039C
A13,YDR329C
A14,blank
A15,YLR454W
A16,YMR031C
A17,blank
A18,blank
A19,blank
A20,YMR109W
A21,YDL193W
A22,blank
A23,YBL050W
A24,YMR264W
B1,YJL123C
B2,YJL061W
B3,YLR087C
B4,blank
B5,YJL207C
B6,YFR024C-A
B7,YLR148W
B8,YAR050W
B9,YPR140W
B10,YCL028W
B11,YOR081C
B12,YCL029C
B13,YDR082W
B14,YDR034C
B15,YLR408C
B16,YHR201C
B17,YPR122W
B18,YIL056W
B19,YOL048C
B20,YER018C
B21,YNL149C
B22,YJL062W-A
B23,YPR097W
B24,control-yMS2882
C1,control-yMS2885
C2,control-yMS2882
C3,control-yMS2885
